        YEAR       MONTH         DAY        HOUR      MINUTE   N_Cluster         LON         LAT       IND_X       IND_Y     REFLECT   yyyyy_xx1   yyyyy_xx2 yyyyyyy_xx3     yyy_xx4     yyy_xx5       RIVER         CXE    PRECIPIT         VIL
   2014.0000      2.0000      1.0000      0.0000      0.0000      4.0000    -60.3714     -1.8889    101.0000     57.0000     25.2031      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000      2.5857      0.5300
   2014.0000      2.0000      1.0000      0.0000      0.0000      4.0000    -60.3514     -1.8889    102.0000     57.0000     23.6875      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000      2.0393      0.5167
   2014.0000      2.0000      1.0000      0.0000      0.0000      4.0000    -60.3314     -1.8889    103.0000     57.0000     22.5312      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      1.1620      0.4676
   2014.0000      2.0000      1.0000      0.0000      0.0000      4.0000    -60.3114     -1.8889    104.0000     57.0000     22.8594      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      1.2220      0.4833
   2014.0000      2.0000      1.0000      0.0000      0.0000      4.0000    -60.2914     -1.8889    105.0000     57.0000     21.8906      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      1.0531      0.4004
   2014.0000      2.0000      1.0000      0.0000      0.0000      4.0000    -60.2714     -1.8889    106.0000     57.0000     21.4688      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.9871      0.3881
   2014.0000      2.0000      1.0000      0.0000      0.0000      4.0000    -60.2514     -1.8889    107.0000     57.0000     21.2969      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.9614      0.3306
   2014.0000      2.0000      1.0000      0.0000      0.0000      4.0000    -60.2314     -1.8889    108.0000     57.0000     20.7656      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.8861      0.3547
   2014.0000      2.0000      1.0000      0.0000      0.0000      4.0000    -60.2114     -1.8889    109.0000     57.0000     20.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.7878      0.3142
   2014.0000      2.0000      1.0000      0.0000      0.0000      4.0000    -60.3914     -1.9089    100.0000     58.0000     21.5625      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      1.0014      0.2953
   2014.0000      2.0000      1.0000      0.0000      0.0000      4.0000    -60.3714     -1.9089    101.0000     58.0000     23.6562      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000      2.0293      0.4494
   2014.0000      2.0000      1.0000      0.0000      0.0000      4.0000    -60.3514     -1.9089    102.0000     58.0000     24.1250      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000      2.1839      0.4982
   2014.0000      2.0000      1.0000      0.0000      0.0000      4.0000    -60.3314     -1.9089    103.0000     58.0000     20.4844      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.8487      0.3671
   2014.0000      2.0000      1.0000      0.0000      0.0000      4.0000    -60.3114     -1.9089    104.0000     58.0000     21.2344      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.9522      0.3776
   2014.0000      2.0000      1.0000      0.0000      0.0000      4.0000    -60.2714     -1.9089    106.0000     58.0000     20.4375      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.8426      0.3431
   2014.0000      2.0000      1.0000      0.0000      0.0000      4.0000    -60.2514     -1.9089    107.0000     58.0000     21.7031      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      1.0233      0.3890
   2014.0000      2.0000      1.0000      0.0000      0.0000      4.0000    -60.2314     -1.9089    108.0000     58.0000     23.3125      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000      1.9230      0.4717
   2014.0000      2.0000      1.0000      0.0000      0.0000      4.0000    -60.2114     -1.9089    109.0000     58.0000     22.1719      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000      1.6083      0.4279
   2014.0000      2.0000      1.0000      0.0000      0.0000      4.0000    -60.3514     -1.9289    102.0000     59.0000     21.4062      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.9777      0.2585
   2014.0000      2.0000      1.0000      0.0000      0.0000      4.0000    -60.2314     -1.9289    108.0000     59.0000     21.1719      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000      1.3751      0.3914
   2014.0000      2.0000      1.0000      0.0000      0.0000      4.0000    -60.2114     -1.9289    109.0000     59.0000     21.6719      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000      1.4872      0.4037
   2014.0000      2.0000      1.0000      0.0000     12.0000      3.0000    -60.3514     -1.8489    102.0000     55.0000     25.4062      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000      2.6693      0.3759
   2014.0000      2.0000      1.0000      0.0000     12.0000      3.0000    -60.3314     -1.8489    103.0000     55.0000     22.7500      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      1.2016      0.3265
   2014.0000      2.0000      1.0000      0.0000     12.0000      3.0000    -60.3114     -1.8489    104.0000     55.0000     26.2344      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000      3.0390      0.4173
   2014.0000      2.0000      1.0000      0.0000     12.0000      3.0000    -60.3714     -1.8689    101.0000     56.0000     22.3594      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      1.1317      0.3021
   2014.0000      2.0000      1.0000      0.0000     12.0000      3.0000    -60.3514     -1.8689    102.0000     56.0000     27.0781      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000      3.4684      0.7069
   2014.0000      2.0000      1.0000      0.0000     12.0000      3.0000    -60.3314     -1.8689    103.0000     56.0000     26.0625      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000      2.9583      0.6770
   2014.0000      2.0000      1.0000      0.0000     12.0000      3.0000    -60.3114     -1.8689    104.0000     56.0000     26.5938      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000      3.2150      0.6297
   2014.0000      2.0000      1.0000      0.0000     12.0000      3.0000    -60.3914     -1.8889    100.0000     57.0000     21.2031      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.9477      0.2940
   2014.0000      2.0000      1.0000      0.0000     12.0000      3.0000    -60.3714     -1.8889    101.0000     57.0000     24.0156      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000      2.1469      0.4663
   2014.0000      2.0000      1.0000      0.0000     12.0000      3.0000    -60.3514     -1.8889    102.0000     57.0000     24.4844      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000      2.3104      0.5767
   2014.0000      2.0000      1.0000      0.0000     12.0000      3.0000    -60.3314     -1.8889    103.0000     57.0000     24.1094      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000      2.1786      0.5737
   2014.0000      2.0000      1.0000      0.0000     12.0000      3.0000    -60.3114     -1.8889    104.0000     57.0000     22.9688      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000      1.8222      0.5003
   2014.0000      2.0000      1.0000      0.0000     12.0000      3.0000    -60.3314     -1.9089    103.0000     58.0000     20.3594      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.8325      0.3434
   2014.0000      2.0000      1.0000      0.0000     12.0000      3.0000    -60.3514     -1.9289    102.0000     59.0000     21.0625      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.9274      0.2150
   2014.0000      2.0000      1.0000      0.0000     12.0000      3.0000    -60.3314     -1.9289    103.0000     59.0000     20.6094      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.8651      0.2511
